var,iso2,Verh_IL,Verh_IL_old,Verh_EU,Verh_Top3,Verh_CH,Verh_CN,Verh_JP,Verh_KR,Verh_US,Verh_AT
B_A3,SE,91.291054,91.175514,101.62497,52.712738,86.432465,1000.4672,463.7561,723.05518,193.1749,92.687988
B_A3,AT,103.61031,103.60775,108.29008,56.498589,102.9225,1326.7688,652.5874,1142.8389,231.14445,100
B_A3,KR,54.377792,55.10537,56.724457,34.330544,49.594601,198.19278,119.63637,100,118.42856,53.340843
B_A3,NZ,83.162453,81.911247,77.323029,44.748547,84.679413,731.13861,399.07858,736.40967,148.21774,74.199623
B_A3,CA,95.458755,93.616348,91.502495,50.107018,94.351585,872.10156,488.68576,821.25262,186.48221,87.008354
B_A3,HR,103.31979,101.42977,96.470673,54.306889,94.910988,305.38217,456.80811,668.80847,256.30963,96.902946
B_A3,NL,99.558479,101.38467,111.01637,57.537739,96.594894,1018.1696,492.21008,746.65399,240.64371,101.92676
B_A3,IS,108.60704,108.53183,120.68829,60.05061,114.33037,2378.1394,894.70355,1665.7324,225.27908,105.58046
B_A3,CZ,114.73005,115.23469,108.8987,57.428864,125.9719,1858.4061,954.15649,1801.849,293.98734,105.05003
B_A3,IT,70.43454,70.378479,71.740059,39.304241,70.493011,862.18054,423.14807,743.8468,154.94128,66.484863
B_A3,MT,89.44632,89.570839,94.299179,49.437244,80.689644,345.11713,326.52911,433.00656,214.58034,91.063354
B_A3,DE,72.856636,73.194214,75.411194,41.409393,69.686691,665.00372,358.63608,574.85034,166.0574,70.494545
B_A3,CY,91.580727,90.791451,101.89686,52.934216,81.351555,659.63562,369.2897,451.89322,212.94316,95.623253
B_B1,IE,122.4211,121.37325,145.86482,80.09774,98.49926,350.35739,85.805641,100.82544,105.57025,132.50333
B_B1,LU,170.7171,174.15945,203.38194,100.06007,111.91781,351.6676,188.74655,213.57912,158.15071,186.81616
B_B1,SE,109.91732,110.02206,130.83206,67.53109,80.826607,274.22073,104.90782,119.96452,101.38292,119.99191
B_B1,JP,113.75793,115.53932,130.13232,75.472397,104.14212,361.10919,100,130.27275,103.57944,124.71471
B_B1,FI,98.654243,97.689339,117.10856,61.87014,76.790405,223.17253,74.179955,90.166405,84.178642,106.93415
B_B1,HU,75.943054,76.036263,87.153648,46.543407,57.440849,183.38121,55.214733,66.174606,63.748371,81.790138
B_B1,NL,99.112167,100.47604,118.29618,61.985806,77.939163,309.79541,93.022865,108.87619,103.51557,110.96674
B_B1,LV,63.863464,64.15155,72.297813,40.648987,51.279713,253.52306,65.180893,75.863228,77.226929,72.967575
B_B1,AU,103.89917,105.57296,118.20709,71.611099,92.924561,302.56824,96.886726,110.47339,100.37704,132.12814
B_B1,IN,25.096516,25.784557,28.016544,17.699276,23.295593,114.22623,20.186954,22.094389,23.552479,28.379768
B_B1,EL,55.314793,54.716331,63.164391,37.11425,48.420982,246.16971,44.093987,54.90839,68.704742,64.509445
B_B1,TR,52.340359,52.3689,58.758282,33.111359,40.479584,221.88623,50.282684,55.139351,58.241161,58.793339
B_B1,EE,86.616226,86.808884,101.12691,53.802811,64.623367,240.56964,73.302017,87.198425,83.204597,96.073067
B_B1,SI,88.05423,87.781189,102.58861,55.250046,67.901482,267.14859,77.133652,89.505302,86.153053,97.190605
B_B1,PT,90.145813,90.343735,106.19064,56.500366,69.622787,264.38251,65.576263,77.28746,80.542786,98.9478
B_B1,KR,112.36564,114.92126,125.89651,81.002167,100.49852,386.03397,83.390877,100,112.36849,151.59654
B_B1,PL,70.279068,70.278397,78.427429,44.218143,53.44849,226.44894,62.179535,77.522766,79.320724,80.285362
B_B1,CZ,77.556976,77.384117,91.752151,48.349361,59.500717,195.21599,68.527733,81.641327,73.617821,85.289337
B_B1,CL,62.144012,63.297836,70.391464,43.150589,55.945919,225.68478,60.034718,63.302082,59.895023,77.862564
B_B1,IL,85.955597,87.506241,97.341042,60.123913,76.797516,256.32993,73.99231,86.796181,84.090195,111.88475
B_B1,DK,104.79842,104.6021,125.0669,65.747421,83.334656,273.22574,89.401947,105.49197,97.200645,114.37737
B_B1,MX,48.149658,49.089561,54.345772,34.000324,43.036896,150.74185,39.705963,46.81535,47.425938,63.368214
B_B1,US,104.33486,105.83479,119.16216,71.104996,93.263496,285.07455,101.59387,115.49503,100,130.97632
B_B1,BG,64.104874,63.866528,71.768784,37.801876,39.303371,187.19901,51.84,48.492886,65.666679,65.137772
B_B1,IS,84.768089,85.660522,104.00167,54.783825,66.577225,233.57239,71.994339,85.833511,81.616005,94.351151
B_B1,CA,125.0339,127.16105,141.94913,86.757988,111.79002,369.70505,112.69899,129.87262,121.46633,160.62218
B_B1,UK,125.60461,124.78699,152.6514,79.284836,101.83624,320.20685,115.39915,133.31546,116.32326,136.19745
B_B1,IT,62.815441,62.338535,73.943733,39.200191,48.737049,157.48909,51.04628,59.749039,54.973572,67.885948
B_B1,CR,61.8097,63.981186,67.882195,45.286934,57.892242,168.59543,46.688213,43.673729,59.14082,71.29586
B_B1,CH,132.22894,131.94868,166.20468,85.392555,100,291.22284,99.644714,119.32861,109.0715,144.5249
B_B1,CN,36.661552,37.949539,40.263363,26.861305,34.337967,100,27.692455,25.904455,35.078541,42.288132
B_B1,ES,84.531097,84.152412,98.427605,52.653862,64.113159,271.47433,74.062286,80.65107,76.797623,91.570107
B_B1,SK,74.348015,74.190155,85.748352,46.36311,52.486423,220.05537,61.044975,73.411385,73.402016,83.900162
B_B1,CY,67.434868,68.307983,80.124084,42.387093,55.605099,324.81256,89.948578,84.14093,113.93951,69.481201
B_B1,FR,99.50145,99.290642,117.9513,62.049107,80.925934,279.99884,83.669388,92.668198,85.231079,105.65564
B_B1,RO,49.818089,48.985348,54.997253,29.801054,36.185623,129.8136,35.94857,33.627506,45.536716,48.631496
B_B1,HR,72.841072,71.898949,81.778648,43.589645,50.202579,198.89896,55.080006,51.523693,69.770851,72.365288
B_B1,AT,95.055077,94.762436,113.85081,58.580029,74.822762,236.47296,84.436554,92.240189,77.288818,100
B_B1,NO,103.47994,103.46284,120.66187,63.868488,75.089554,306.62036,102.34142,115.67898,102.56705,114.40845
B_B1,CO,50.848732,51.718956,57.99437,33.998421,46.630882,170.07567,44.229218,56.564888,46.474876,55.963394
B_B1,LT,79.225525,79.141846,89.289017,51.486115,64.047104,320.23926,70.695572,87.641037,98.628403,92.603287
B_B1,DE,95.854134,94.950462,113.82901,59.247517,70.52626,199.91852,74.558258,88.494705,77.757439,103.36157
B_B1,NZ,91.506882,92.958862,104.13318,63.11779,81.704033,252.47874,83.541534,97.420395,88.637741,117.21589
B_B1,BE,92.121292,92.306808,110.77087,58.651615,75.73484,283.41229,90.130722,106.10027,98.774498,102.93613
B_B1,MT,86.815926,88.618423,100.00607,49.940525,50.354023,236.78447,65.571434,61.337727,83.060539,89.066948
B_B2,NL,106.00362,111.48707,179.63264,76.765533,77.487839,754.44122,262.63263,1485.36,161.32997,147.98846
B_B2,CR,7.1133485,6.9509792,11.11536,5.4527645,5.0579786,50.82555,28.158514,15.990425,15.477327,9.0087776
B_B2,ES,53.361172,53.302582,77.960281,41.303139,42.426254,272.63309,156.48547,112.75575,89.419579,59.50655
B_B2,EE,65.192284,64.544464,92.301575,50.330917,51.179699,418.28271,203.73784,130.7191,127.10555,72.975594
B_B2,CA,74.326706,74.802628,117.8097,55.785862,57.892601,505.83414,235.39371,622.67194,131.25291,99.951324
B_B2,DE,73.027397,72.810532,113.84945,57.508259,62.077641,382.58463,206.96169,309.92831,120.11741,84.960442
B_B2,JP,48.366371,47.895557,69.211266,35.85701,36.149097,195.78532,100,67.633484,71.670349,51.497253
B_B2,NO,102.55918,102.38878,163.28896,77.721848,81.506966,665.18329,335.20316,370.55136,185.51851,117.63818
B_B2,LV,39.197128,38.712559,52.231003,30.285307,31.07683,202.3996,99.625221,66.63504,70.319656,43.355438
B_B2,TR,25.043892,24.833641,34.360275,20.735285,21.923538,83.588509,62.806252,37.952438,35.287632,28.038162
B_B2,CZ,63.029324,62.769302,88.186211,47.667744,47.938953,343.25555,164.27359,106.78571,110.63375,68.428383
B_B2,LT,49.778618,49.036343,66.88488,38.420162,39.762661,261.12753,131.89874,89.991127,95.190605,55.471455
B_B2,US,72.273048,75.086517,114.35159,51.424774,50.023369,411.26202,160.46536,764.14691,100,98.64183
B_B2,BE,84.245949,86.084282,134.43967,63.092247,64.880882,543.3186,239.25772,674.80176,139.99518,105.65748
B_B2,SI,61.937183,62.124622,90.669518,46.949001,47.092545,381.33218,200.1539,193.30742,110.09875,70.766838
B_B2,IS,98.180786,98.703842,155.96379,73.133835,75.411964,738.95941,345.71643,541.73267,190.08165,117.93051
B_B2,DK,123.00397,126.39734,201.46544,90.110878,92.162811,911.60059,366.43488,1284.9268,215.04456,161.58368
B_B2,SK,47.111942,46.685696,62.3573,35.775394,36.204567,247.43713,120.9613,81.799088,87.081352,52.1875
B_B2,AT,86.49102,87.529793,138.30667,65.223175,67.4021,507.34256,247.274,395.29446,139.36209,100
B_B2,PL,46.707821,46.725376,62.668461,35.499489,35.352783,203.87904,103.28176,68.996216,73.806458,50.458469
B_B2,MX,14.360482,14.379352,20.860472,11.36621,11.453835,48.374256,30.876711,20.645336,19.323179,15.652287
B_B2,NZ,69.274658,68.028366,97.279663,49.857376,51.945374,319.50729,170.29582,270.69373,124.10475,81.848495
B_B2,CL,23.178459,23.149181,34.595795,18.076813,17.844641,128.54375,69.034157,43.662609,38.507229,26.510141
B_B2,AU,107.70529,111.95397,173.05557,75.336266,74.051567,803.95392,293.91946,1428.1788,181.75519,159.1925
B_B2,HR,42.7057,42.798283,59.514301,34.834969,34.429245,366.78796,182.569,107.17754,87.915993,50.349289
B_B2,HU,42.834782,42.723747,57.801975,32.889019,33.157589,203.71451,104.56136,70.415428,72.849014,47.29475
B_B2,LU,91.432137,92.52166,144.46788,67.333641,68.481277,674.29382,304.73111,653.35181,170.07631,113.42863
B_B2,CH,147.31172,154.25217,239.70744,102.99691,100,1178.3352,414.10986,2034.6893,251.32915,203.7616
B_B2,CN,30.585039,30.752476,44.897999,24.397718,25.068411,100,70.481903,101.3267,41.404758,35.540665
B_B2,IN,13.985069,14.415119,21.560915,12.498735,12.47798,28.827755,47.651463,24.750307,15.633316,17.195837
B_B2,EL,60.261032,59.849155,82.960838,45.763596,46.467155,302.80362,172.69714,124.57058,107.52288,66.62394
B_B2,CO,6.1032081,5.8984165,9.1706152,4.9105315,5.1877513,26.563301,15.307988,9.4203196,9.9900131,6.6834722
B_B2,KR,63.149677,62.897747,91.185509,46.274109,45.591278,269.17615,152.04408,100,91.153664,67.155792
B_B2,BG,36.670155,37.000385,45.548481,30.710545,30.835239,156.72177,82.200867,48.876293,39.278778,41.68848
B_B2,IL,62.113319,63.591797,108.11223,46.464722,48.151356,313.34409,161.15292,217.00999,88.806351,70.226021
B_B2,PT,60.385311,59.95298,88.47345,46.601887,48.393681,343.23047,195.16052,124.73882,113.62425,67.950775
B_B2,MT,48.814156,48.928165,66.787849,39.92635,39.447643,424.5311,207.59882,122.15357,98.404533,57.452042
B_B2,IT,51.62355,52.061939,76.36982,39.778351,40.257458,274.5528,149.7034,197.25693,83.074554,59.777512
B_B2,SE,97.760475,99.291611,161.73233,74.545547,78.673157,723.18878,327.45621,855.22131,177.59361,125.34875
B_B2,IE,69.737503,71.571632,112.97919,52.447762,53.863754,489.04993,213.46616,627.59204,120.17348,90.868385
B_B2,UK,80.211563,83.982079,127.34406,57.810322,57.712029,622.54315,217.04297,1284.5475,140.6235,117.89739
B_B2,FI,87.513374,86.839935,138.5043,68.559334,73.489365,573.56006,314.32813,290.38861,168.47899,101.44573
B_B2,FR,60.605564,61.154018,90.034538,45.933395,46.746655,301.90054,155.54642,226.75549,92.478737,68.671165
B_B2,RO,24.915932,24.939173,33.192547,20.134901,20.534126,95.464104,55.238674,36.775448,34.989594,28.015749
B_B2,CY,62.388676,62.935246,99.292908,49.112717,48.63871,746.37598,436.95636,343.51685,155.55573,77.462227
B_B3,PT,53.869095,52.780537,66.300598,36.984909,64.684242,357.40771,146.36151,257.50266,55.080173,53.655083
B_B3,IT,69.885437,68.985443,88.509834,45.790646,78.49231,636.54712,233.26791,425.9382,77.304512,69.846527
B_B3,LT,66.287979,65.45076,74.990189,40.098598,85.280411,1412.1429,486.79211,1024.156,78.017654,62.968578
B_B3,HU,63.540302,62.610332,77.022453,40.854691,78.024963,1023.1096,300.00134,594.10938,79.542358,61.709091
B_B3,SE,108.45655,106.575,176.78772,74.277222,115.63589,1701.6958,275.02975,432.79117,152.18332,113.18444
B_B3,FI,107.37457,105.15217,166.90327,71.959656,124.16927,1887.1227,334.6062,589.26947,138.19418,109.67342
B_B3,MX,31.006462,30.843998,36.634518,20.141666,30.453096,79.934608,44.951096,69.909691,31.568743,28.535772
B_B3,CH,110.1172,109.53153,184.44156,69.533218,100,1410.5591,245.96759,347.94653,166.17224,116.16901
B_B3,FR,75.295021,74.192215,106.00092,52.285191,84.612091,582.36652,192.7099,332.06091,84.925438,76.360474
B_B3,US,85.560913,84.734146,133.16571,53.297649,81.923294,832.42206,200.51573,319.2749,100,86.055626
B_B3,IE,89.892929,87.960457,118.11105,58.612331,102.73328,1155.0563,279.93988,514.02765,96.755241,89.34922
B_B3,CO,43.380554,45.312374,45.09026,16.103859,37.883537,292.71655,184.64215,332.20581,47.747036,42.724567
B_B3,IN,22.672115,21.932194,27.428818,15.015862,15.604396,32.718895,13.937965,15.635323,18.783068,19.559229
B_B3,BE,101.32047,100.28014,142.13567,65.663658,116.83652,1156.5637,329.80151,573.52155,122.01971,102.92481
B_B3,DK,89.587631,87.992683,147.31506,62.134739,95.180748,1723.7694,214.46675,318.2168,127.50393,93.562233
B_B3,LV,63.658463,63.235683,69.37365,37.254211,80.526627,1837.4843,565.98615,1203.3453,84.105957,59.196831
B_B3,CR,12.684079,12.278161,14.700096,7.8342929,9.4121437,28.341013,7.7711587,8.4341393,10.981516,11.19338
B_B3,CY,68.491867,66.990425,82.318428,50.193905,83.190857,27.350229,73.831642,73.23632,62.250072,71.131203
B_B3,SK,55.251209,54.343754,63.705593,36.795963,64.896317,845.81738,249.64737,505.92734,62.284527,53.150097
B_B3,JP,95.172623,94.726151,163.18394,59.387722,81.438286,415.7211,100,108.70036,112.64793,100.10829
B_B3,IL,139.03181,138.5694,190.68898,68.187477,156.84843,2938.4346,1040.3378,2237.187,169.57924,122.88068
B_B3,AU,46.927223,46.77993,66.792336,29.496073,44.664936,131.92928,86.063316,104.30762,53.225407,48.39254
B_B3,NO,74.166451,72.636597,102.83904,51.289837,90.15596,522.73444,190.49344,325.22632,75.405495,76.457802
B_B3,HR,58.816303,57.144924,69.388817,42.282318,68.422287,267.92944,64.644043,65.033279,53.887688,59.414284
B_B3,LU,66.149399,65.158997,93.937988,47.667046,69.776039,263.84662,120.51048,188.45558,69.432877,67.630226
B_B3,CN,124.07936,134.20914,147.97226,41.908924,75.316063,100,205.78366,83.44545,128.28252,136.79591
B_B3,IS,87.917488,86.404778,134.22926,55.666733,107.78236,3405.8113,576.61737,1138.6655,137.46695,87.642197
B_B3,CZ,78.445396,77.215012,91.094925,49.079365,99.354019,1441.1915,485.89871,1003.2194,96.573486,74.907669
B_B3,KR,108.10933,108.3912,167.3194,64.694244,96.70797,452.54562,124.92738,100,122.12745,113.20232
B_B3,TR,48.649414,47.493176,59.469879,33.023357,56.150784,129.75314,76.351852,106.61038,45.833,47.428452
