var,iso2,Verh_IL,Verh_IL_old,Verh_EU,Verh_Top3,Verh_CH,Verh_CN,Verh_JP,Verh_KR,Verh_US,Verh_AT
B_D1,EE,90.447273,92.613319,100.54127,64.138062,88.296066,207.9726,104.34154,103.35648,72.515335,96.778473
B_D1,LU,107.63695,114.5217,124.18412,72.413567,84.128098,,141.19597,147.99445,103.72338,108.91359
B_D1,BE,96.562439,101.44807,110.90652,67.996651,82.41053,292.25848,132.77309,130.72166,91.725693,98.267517
B_D1,MX,43.137497,43.780045,52.459984,36.838398,39.180981,107.4739,61.260315,61.104668,42.865566,46.172684
B_D1,KR,73.29805,74.405319,89.794632,60.073505,64.102287,249.9859,102.29739,100,70.178467,76.757675
B_D1,IL,75.325851,75.937263,96.675705,65.663971,67.718781,243.41492,107.51346,105.65706,74.140839,81.001602
B_D1,CA,95.324966,96.752136,116.23412,80.2202,85.41954,269.16022,134.52924,133.22975,93.47496,101.23416
B_D1,DE,122.31255,129.26996,138.61351,80.876701,99.937675,294.48071,131.66785,129.49899,90.869583,119.10367
B_D1,HU,90.298447,94.132942,99.563354,62.606659,81.466484,193.83409,92.568893,91.425484,64.148163,89.551178
B_D1,BG,84.029594,86.976364,90.102554,57.631775,80.451004,147.47665,64.41468,58.993984,41.455624,83.57016
B_D1,LT,88.709,91.488724,98.515022,62.403114,82.862785,217.68665,100.21465,98.750198,69.290581,91.539742
B_D1,IN,12.862697,13.064857,16.090311,9.2633877,9.9948874,39.016644,17.041643,15.607537,10.967562,12.608875
B_D1,PL,89.514389,93.427582,98.238136,61.630405,80.34568,202.3215,95.111832,93.845634,65.847481,87.478493
B_D1,CN,32.967205,33.485344,41.239609,23.742144,25.616983,100,43.677883,40.002254,28.109957,32.316658
B_D1,CL,53.68224,54.483826,65.367119,45.522247,48.443619,142.32544,76.006546,75.55394,53.005375,57.243149
B_D1,FR,93.275414,98.011551,107.05899,65.294693,77.749161,253.02243,118.82843,117.23926,82.261887,95.040298
B_D1,AU,95.181564,96.609268,116.17258,79.664032,84.863907,280.39151,134.01691,132.36826,92.87532,100.78864
B_D1,LV,80.405891,82.924789,88.770454,56.087814,75.178062,179.97308,84.411804,83.276123,58.431473,83.85968
B_D1,NO,118.24262,124.67719,135.70488,80.255661,94.653076,370.91739,161.38165,158.43498,111.17793,116.44184
B_D1,PT,79.355713,82.403229,89.742966,56.574089,68.188934,196.53856,97.061401,96.056168,67.394615,79.939766
B_D1,JP,71.375549,72.450462,87.298447,59.039799,62.952522,228.94884,100,98.199814,68.908997,75.109344
B_D1,NZ,87.257484,88.563957,106.40074,73.416916,78.176506,246.75841,123.13377,121.93289,85.549149,92.657059
B_D1,FI,89.035843,91.893608,101.1165,65.210648,81.196129,272.63287,132.5898,131.0966,91.981209,90.979492
B_D1,IS,93.173592,97.547279,104.25886,66.581757,83.997757,302.58044,141.56735,139.64114,97.980804,90.69799
B_D1,HR,76.404701,79.374992,84.865173,53.046227,67.664833,187.07661,81.711098,74.834862,52.587154,76.843422
B_D1,DK,113.14809,118.06693,130.88571,76.856636,89.245018,328.26205,148.18645,145.83691,102.33266,113.257
B_D1,ES,80.354851,84.185692,92.620865,57.487652,66.421753,219.01326,110.53243,109.52645,76.843712,82.532753
B_D1,SE,95.458786,98.84977,109.56989,69.300911,83.200928,301.39908,140.42601,138.47897,97.165848,98.41787
B_D1,NL,122.08084,130.10159,140.52538,81.110626,96.986839,322.10629,148.86653,146.7276,102.95464,120.305
B_D1,EL,74.434982,76.926727,84.227058,53.947861,65.075516,173.28279,84.956024,84.039864,58.964268,77.116058
B_D1,CO,38.858803,39.435143,47.151836,33.587158,35.689667,86.054543,55.47065,55.655109,39.038269,41.864067
B_D1,IE,129.47525,136.56628,151.91188,85.433884,91.313362,502.29251,179.10367,173.21442,121.58484,126.8605
B_D1,CH,135.25397,147.01395,156.86052,89.449959,100,390.36603,159.59543,156.00082,109.47913,134.82603
B_D1,MT,118.56024,125.29099,133.97516,75.793236,91.041229,265.22803,115.84599,106.09719,74.555481,113.768
B_D1,AT,101.48692,106.68226,116.15396,70.030487,83.2258,309.43796,133.16888,130.64015,91.674904,100
B_D1,US,104.42828,106.00574,127.92709,85.602554,91.342102,355.74585,145.75482,142.49411,100,109.3676
